ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
150.57,140.88,162.6,54.82,281.079,146.813,532.093,543.572,212.039,226.93,500.09
440.98,296.64,181.89,165.73,707.724,579.256,2132.94,2165.74,320.944,224.61,502.8
768.84,302.07,927.63,122.54,1144,1529.34,3744.82,3754.55,907.279,927.12,2253.1
1989.38,983.57,790.92,186.57,3043.01,1215.88,4661.5,4901.56,1490.07,1403.24,1162.34
5451.56,3553.18,303.52,78.57,8838.4,2966.23,12322.9,12435.7,1874.6,1817.79,2730.17
533.19,126.31,181.22,83.53,742.612,291.785,1111.05,1180.68,242.886,123.24,1040.74
100.67,91.33,136.77,48.71,208.529,301.324,555.015,569.066,81.7633,520.62,1082.95
814.4,348.89,101.49,74.01,1106.51,1197.74,2398.23,2460.48,302.056,205.53,858.25
879.56,188.76,668.03,111.53,789.151,2905.91,4392.78,4398.79,530.31,326.14,986.31
7000.61,1969.27,529.99,68.52,7577.97,3178.82,12553.1,13361.6,4803.2,4591.46,1965.06
2278.83,1181.59,295.39,47.32,4284.29,312.404,4758.66,4841.84,983.975,869.41,668.91
239.92,226.77,114.79,72.61,956.458,954.509,2703.36,2743.12,167.311,291.57,894.14
302.99,8.84,114.06,47.65,121.327,89.0974,461.143,492.317,201.338,138.13,238.35
255.18,132.34,538.79,66.79,581.13,94.2912,1623.36,1698.76,849.731,1226.41,2128.27
399.51,282.67,90.01,36.8,684.339,132.006,1195.17,1198.96,99.4719,61.66,161.89
499.83,426.61,49.87,42.42,1558.13,21.9315,2745.74,2747.61,112.548,106.98,547.39
501.93,132.1,298.69,30.26,498.119,192.798,1127.88,1136.03,279.876,236.28,729.74
662.73,157.99,709.13,118.01,591.661,290.894,2419.22,2434.52,348.759,154.8,981.56
1320.52,958.98,633.37,35.32,2369.64,888.162,3569.49,3580.86,278.869,116.01,2179.84
108.74,106.48,57.5,48.05,255.712,222.433,491.423,496.066,80.3852,80.2,136.67
290.74,72.27,338.1,169.9,283.731,413.007,820.527,936.627,374.484,285.7,641.18
773.22,43.11,1359.5,977.05,566.644,6300.15,7715.71,7719.26,334.18,131.08,2559.59
570.04,249.55,168.22,35.89,738.489,303.936,1113.34,1180.22,304.355,229.18,701.88
1348.02,1293.03,2602.86,161.76,1982.01,1709.56,6019.71,6057.61,1220.78,553.16,3300.14
2543.08,1435.12,2383.9,234.84,3410.22,1088.83,6598.57,6629.3,1400.83,770.6,2952.52
2539.69,1277.17,1037.68,90.93,4166.52,2335.05,7121.26,7142.75,490.727,253.1,2027.06
5845.86,2774.73,306.02,68.82,8698.16,2666.74,11750.6,12143.1,3214.31,3216.89,804.85
336.56,141.05,116.29,41.62,494.578,99.938,749.464,765.369,163.411,112.48,484.05
1673.59,97.92,514.33,80.93,1125.25,959.548,3560.39,3751.79,1623.03,1641.76,1417.01
350.86,79.73,159.41,95.67,416.313,484.419,919.197,1052.16,462.553,413.55,392.3
3643.32,3133.86,291.8,128.28,8341.77,103.372,9210.16,9262.68,1087.83,1164.35,1874.9
553.57,213.94,136.26,74.93,706.063,584.738,1372.93,1432.7,585.052,800.44,866.35
484.99,91.42,342.33,132.79,505.073,869.492,1423.91,1639.04,553.779,477.65,1211.46
443.59,252.22,1221.51,399.35,897.738,1206.89,2854.87,3018.32,832.291,545.12,2249.71
263.34,166.7,82.41,69.49,737.475,346.312,1155.04,1167.94,192.661,244.64,437.07
299.61,131.29,325.22,317.89,486.65,223.377,1589.75,1653.62,350.485,405.34,1966.19
204.4,29.67,350.33,158.11,211.847,2201.46,3047.48,3101.16,463.348,352.47,890.7
436.75,265.47,1543.21,394.57,587.985,1649.71,4699.63,4755,1163.19,1057.49,2321.19
700.35,82.38,354.13,43.35,501.987,1017.94,2458.42,2523.08,346.783,161.77,876.48
1331.1,985.51,395.28,340.75,2329.67,2589.56,4978.68,5016.6,274.306,389.99,1880.07
933.09,789.19,2843.46,42.24,1758.89,2187.35,5904.58,6049.96,1930.36,1281.79,3052.87
307.24,24.78,368.61,38.64,171.204,622.919,1056.44,1063.63,258.486,172.5,539.01
151.86,70.32,82.42,36.09,209.69,116.168,395.055,422.602,156.643,442.86,317.34
676.84,438.18,271.92,251.19,1225.06,185.322,2243.95,2250.16,376.952,240.24,745.68
689.46,326.12,116.87,30.02,980.374,203.629,1738.7,1773.91,402.87,362.86,198.78
151.88,72.42,160.24,118.94,193.277,289.714,880.034,894.795,130.074,67.33,451.69
783.55,106.28,155.44,51.96,880.58,377.293,2405.15,2486.97,461.267,292.97,1134.29
1088.9,1036.79,2258.68,43.07,1852.04,2552.37,5393.04,5550.6,1802.98,1414.72,2841.03
4108.76,2558.52,116.07,102.49,6708.32,284.792,7283.02,7458.88,1389.9,1198.46,773.33
241.51,121.68,589.87,269.68,179.488,776.775,1149.3,1396.08,205.041,146.91,3243.7
249.53,186.17,42.29,36.78,893.84,354.217,1255.27,1262.69,33.2046,110.07,427.7
889.02,248.28,114.02,42.32,937.197,418.309,1833.31,1971.37,689.741,651.42,266.44
190.78,43.73,82.03,75.44,202.427,51.8348,450.914,463.867,144.209,135.53,491.54
334.72,158.62,805.41,84.8,320.043,2882.99,3694.92,3741.23,751.492,606.21,1012.27
735.86,117.63,390.89,324.31,485.123,315.335,1889.73,1903.57,408.115,271.51,1168.11
1097.6,716.71,1198.95,371.34,1976.46,3602.06,8061.12,8179.62,1194.28,1054.75,2227.05
100.66,29.34,95.36,52.73,101.436,1055.99,1194.57,1195.16,66.8402,63.01,229.75
1146.18,748.11,1398.35,38.85,2456.07,1293.71,5233.74,5294.49,1086.37,842.85,1996.6
913.44,469.47,2188.44,108.23,1051.7,1121.43,3914.74,4090.51,1946,1743.69,3124.83
327.39,0.82,459.7,451.91,39.1426,4826.6,5281.32,5283.04,105.583,51.38,3819.01
640.36,610.32,107.28,37.99,1382.6,65.1461,1649.94,1660.27,219.397,247.95,145.27
108.29,8.11,149.83,33.35,64.8502,370.924,547.732,550.396,103.418,106.02,393.82
1839.43,1640.82,420.21,49.19,3844.41,93.0564,8477.16,8495.86,378.025,291.93,1277.3
289.85,136.17,292.53,213.92,476.456,646.16,2278,2305.4,376.771,275.76,2944.87
901.69,328.87,360.09,32.58,1506.72,597.526,3532.67,3543.15,469.376,343.92,627.28
361.48,182.56,284.1,154.65,377.753,955.109,2047.13,2053.66,289.67,253.75,829.91
1465.79,964.95,620.76,99.86,2616.52,1046.24,4114.54,4114.7,167.133,51.74,1015.58
1870.79,822.42,686.23,104.51,2472.57,955.253,3738.47,3870.66,1202.18,1080,938.26
182.11,4.94,334.76,30.27,91.8936,587.305,949.786,974.86,278.531,224.25,419.31
382.53,205.88,463.89,51.53,643.528,2131.41,2843.31,2860.36,150.218,92.88,1057.84
769.87,102.13,59.32,41.21,564.929,513.54,1209.91,1410.66,465.297,297.8,569.41
850.12,150.65,1072.6,236.21,1038.21,319.609,2664.95,2738.9,942.914,652.9,1378.13
417.71,1.01,698.38,121.26,65.3604,140.135,1229.98,1291.08,142.185,41.54,1153.15
223.48,188.51,65.52,62.05,435.347,125.484,659.533,666.819,82.6656,67.16,263.08
245.42,146,91.61,76.96,477.04,876.854,1555.31,1567.52,217.366,233.16,374.76
201.1,98.67,96.62,41.04,414.526,125.153,622.447,631.657,150.049,124.6,137.66
1042.41,664.9,492.46,166.41,2475.29,1087.14,4098.46,4106.23,434.038,514.21,1317.81
1722.58,1709.27,875.71,53.85,4082.06,390.711,4951.05,5021.52,885.801,914.68,1234.97
209.78,47.73,175.18,57.29,228.22,424.017,1103.55,1104.27,92.19,50.93,285.43
1996.11,1367.07,427.14,359.27,3304.84,676.884,4382.1,4497.04,998.283,960.26,850.76
1515.34,798.08,493.53,79.5,2235.16,775.737,3572.44,3587.49,187.292,83.11,967.41
411.24,395.12,320.01,168.91,1308.18,3012.37,4600.18,4605.41,395.385,374.51,1690.15
943.33,803.12,90.85,44.63,1722.6,397.379,2203.05,2314.15,270.52,351.52,1078.66
737.05,560.35,171.26,140.68,1364.03,369.507,1769.79,1790.93,258.311,212.17,612.32
577.25,278.92,326.28,100.74,839.272,768.755,1747.89,1760.67,276.116,228.57,1001.82
