ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
275.14,0.59,101.97,97.05,171.251,242.277,515.87,572.752,71.3304,99.68,698.3
356.11,1,521.54,265.54,337.12,173.712,1232.97,1303.41,569.17,417.03,856.17
522.53,1.96,1000.47,124.51,61.9139,1231.79,2008.44,2041.14,616.919,430.19,1171.18
196.42,1.86,254.39,55.12,84.3085,243.512,930.129,930.212,74.4458,28.17,642.78
278,1.07,42.48,33.91,95.4977,65.8785,995.427,1030.32,114.036,355.36,698.16
304.34,0.76,83.87,78.33,28.7013,632.243,1287,1302.81,171.895,284.53,1018.77
387.15,10.3,134.7,85.14,88.5604,1141.54,2014.19,2028.32,155.306,67.87,571.04
244.49,1.95,156.21,59.45,91.5777,90.9362,873.385,874.029,115.464,61.32,399.58
232.1,1.77,172.22,79.14,51.8623,241.315,449.794,506.703,99.1229,106.02,740.17
210.66,0.61,229.13,122.76,23.3272,262.585,745.207,755.096,192.859,112.44,992.25
142.85,98.99,173.42,121.93,253.016,159.288,556.882,596.601,218.103,187.63,330.42
158.2,0.83,139.64,81.3,22.861,102.985,379.808,382.044,51.6395,14.55,337.56
168.74,44.69,91.13,36.44,209.321,244.557,638.233,672.783,67.8058,52.17,547.78
360.89,1.02,507.52,258.93,342.752,166.249,1226.71,1289.54,542.929,389.57,900.16
529.53,1.95,1005.87,124.25,62.168,1237.63,2024.08,2056.35,619.078,430.3,1177.99
366.31,59.64,326.2,48.02,334.036,411.164,1144.88,1146.97,169.775,85.12,446.87
650.72,3.14,723.72,78.16,561.565,179.425,1672.29,1707.65,362.966,162.85,1094.94
192.61,1.88,256.45,61.85,83.9344,258.255,933.946,934.032,77.7921,31.01,611.41
316.28,2,682.16,119.68,84.1536,163.013,1202.08,1296.21,482.251,293.92,1271.05
269.39,1.08,58.53,42.88,94.4444,85.9876,1070.9,1097.18,145.751,355.5,713.73
116.56,99.94,277.92,45.46,205.535,149.487,497.189,586.042,339.42,334.72,479.93
168.13,2.15,54.23,45.61,30.5067,114.102,328.781,340.075,64.1705,39.31,270.16
408.66,31.89,186.5,122.71,270.608,178.09,864.138,882.359,163.806,64.58,568.48
211.13,0.63,220.01,122.53,23.733,255.337,733.073,741.781,175.211,94.87,973.14
442.95,2.2,158.21,113.03,63.7277,90.7715,714.892,736.882,232.46,203.81,1069.88
170.96,45.21,90.9,35.84,211.916,241.036,634.736,669.749,76.3449,40.14,556.78
238.24,1.65,205.23,104.2,69.6533,569.404,903.529,905.107,202.791,182.76,596.19
199.44,2.04,183.24,114.97,38.0288,520.035,1068.76,1083.19,145.346,127.1,544.91
184.84,7.11,121.09,35.26,97.1435,93.6111,525.818,530.187,116.867,96.01,387.03
196.5,1.86,259.68,30.16,84.3256,148.298,904.422,908.72,72.2377,26.6,650.98
315.43,1.99,671.97,117.39,83.8301,158.884,1190.16,1280.82,468.333,281.26,1227.22
149.24,6.91,231.53,162.78,42.4186,88.9482,633.84,687.014,242.012,145.84,1002.13
304.63,0.76,523.47,104.36,28.715,805.367,1212.01,1217.96,340.142,271.88,1009.93
247.27,1.95,159.02,55.93,92.0969,88.2431,875.116,875.858,109.818,55.19,400.3
401.36,31.78,187.66,123.1,267.717,178.961,858.771,876.227,147.805,53.18,570.87
443.77,2.19,156.06,40.86,63.6418,1230.95,2272.71,2292.75,173.101,209.13,1058.7
276.15,0.59,320.77,103.11,171.565,355.137,766.108,768.945,166.893,102.78,694.91
171.75,44.5,98.12,35,210.73,249.376,638.275,674.948,75.8226,47.96,583.44
145.43,1.74,64.77,50.84,23.6546,27.5948,155.157,270.975,69.4076,50.18,533.4
155.7,127.82,72.29,33.37,276.442,96.7091,433.287,435.787,57.4029,30.13,166.5
149.57,0.96,151.46,77.01,38.0169,233.219,505.072,536.493,56.3797,69.85,439.38
198.54,1.88,255.73,63.53,85.2167,261.062,947.997,948.013,76.9051,29.66,654.71
104.31,29.51,203.47,52.12,99.7294,191.752,457.838,462.128,130.194,97.08,383.55
402.3,32.1,191.75,123.27,269.377,181.467,866.487,883.734,147.094,53.01,579.1
142,98.63,179.93,122.63,251.803,164.46,561.501,602.803,224.418,194.56,336.32
277.36,0.6,314.64,98.22,173.392,341.307,755.876,758.862,165.629,101.74,688.52
248.46,2.8,256.18,61.45,68.487,251.318,626.536,633.646,86.2813,33.05,676.79
167.58,44.18,89.61,36.95,207.407,243.176,635.542,669.585,65.1031,58.16,552.37
355.68,0.98,524.19,270.01,333.531,173.786,1235.65,1308.34,579.337,428.14,926.15
151.27,5.62,289.13,162.52,81.4467,94.3194,633.823,703.079,289.443,189.74,609.36
245.25,61.26,150.29,57.37,241.235,49.9853,528.443,529.596,131.502,80.81,257.5
