ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
136.92,56.61,91.42,59.43,224.908,113.86,390.589,459.772,70.679,53.43,485.99
106,42.21,148.71,47.98,105.114,326.757,485.954,535.741,68.4388,28.11,426.19
201.58,28.09,80.05,35.16,54.753,1329.51,2527.2,2535.03,139.471,272.57,611.08
120.05,113.98,133.38,46.71,27.1459,160.237,278.267,459.817,37.7232,128.16,1446.55
102.65,41.09,100.98,73.42,50.7823,186.549,364.04,388.621,91.7531,58.97,445.58
179.23,37.04,128.98,45.22,160.939,129.236,396.328,397.269,87.1169,60.82,332.8
130.43,50.68,141.71,44.54,304.692,165.279,521.966,522.177,14.6998,2.21,339.85
235.31,56.71,212.62,42.22,704.43,285.272,1224.21,1225.26,108.698,55.7,708.82
151.15,17.11,91.68,78.51,150.073,214.777,426.211,446.506,119.426,92.4,170.19
148.58,6.59,114.52,66.55,128.794,154.379,331.939,397.622,103.401,50.91,332.38
109.65,20.72,99.35,49.88,65.0797,170.646,325.811,327.784,48.7752,21.3,204.2
137.62,57.02,158.76,57.94,177.028,284.217,497.391,499.343,89.634,100.4,547.46
230.19,19.93,313.39,152.98,99.0377,452.331,727.56,733.735,199.887,205.85,890.12
101.12,72.8,184.83,104.26,250.328,561.901,812.476,825.498,148.846,159.2,573.21
105.69,48.11,97.23,89.41,225.957,240.816,567.273,578.522,116.353,78.93,186.64
162.43,40.96,89.91,49.63,305.587,269.186,627.445,632.463,77.0025,109.19,524.69
138.25,85.99,104.92,43.27,147.618,126.777,361.754,396.08,94.3882,49.25,271.48
105.53,17.68,227.71,188.75,190.638,806.623,1015.3,1033.91,120.065,112.45,655.6
110.55,26.74,70.76,40.91,141.501,99.8422,283.407,291.498,88.3813,72.26,111.67
139.12,21.17,52.58,36.69,100.179,110.266,268.796,310.989,132.06,117.86,123.81
207.21,46.81,88.54,65.42,539.192,57.4765,1603.29,1607,157.898,133.32,526.56
300.96,10.14,165.31,140.49,82.555,186.627,1070.11,1088.58,147.696,96.09,882.38
274.56,10.35,123.15,51.17,127.804,157.799,309.872,535.366,49.5963,166.66,1151.02
358.44,241.98,101.67,47.17,590.536,136.962,745.278,768.806,159.02,132.23,198.58
148.18,19.91,91.13,69.19,87.8662,145.77,357.759,378.675,125.461,88.01,256.09
151.61,60.29,310.76,127.07,233.578,480.144,775.136,784.487,167.674,131.41,471.31
105.62,17.31,65.52,39.8,143.129,101.87,259.555,283.476,120.28,123.79,105.32
160.34,61.8,68.25,58.14,186.519,108.385,352.554,383.329,144.737,114.07,184.76
131.66,14.15,55.09,33.86,84.6566,86.7279,268.378,290.648,107.127,88.94,88.95
180.89,52.98,235.24,102.56,175.659,297.954,586.044,588.198,93.9652,47.66,373.63
215.08,214.29,174.13,36.67,638.341,156.358,866.288,875.355,158.415,145.82,210.8
171.51,74.42,64.37,42.59,250.852,107.013,395.83,430.305,50.9397,66.45,450.33
143.56,46.78,54.8,47.7,36.5445,26.2072,339.861,350.784,106.605,69.02,237.85
181.17,26.16,140.6,41.38,38.0281,160.044,423.469,437.032,129.439,81.49,181.98
103.67,13.39,110.63,50.66,74.2619,203.77,314.705,352.185,134.927,109.6,161.29
168.69,81.89,152.94,53.83,314.912,274.359,708.993,709.608,69.1659,42.56,536.2
124.05,36.49,68.98,47.28,310.42,293.331,641.398,648.021,94.7468,56.38,116.26
119.94,6.53,63.94,61.71,126.144,129.76,310.629,352.54,47.4667,45.38,300.1
181.89,69.36,120.66,35.57,195.259,119.369,401.705,420.097,101.62,73.78,305.81
113.68,23.94,94,38.49,99.5331,172.547,301.276,359.501,131.926,81.55,235.34
121.49,15.36,109.87,58.36,52.8969,73.2181,289.955,333.707,129.647,97.64,339.42
106.71,5.91,116.24,42.02,91.1093,155.574,308.861,313.185,58.2036,49.99,242.91
139.64,41.1,185,58.31,256.278,207.727,467.846,578.538,66.7173,41.88,620.54
245.73,33.03,85.84,68.54,279.828,457.945,1134.7,1167.97,69.0255,112.68,549.22
166.36,20.85,133.77,49.19,201.422,188.507,505.564,510.293,86.5899,40.65,182.96
118.51,47.02,70.45,69.91,236.899,268.064,545.742,571.245,71.1348,69.84,507.51
158.5,118.45,100.06,80.26,624.193,372.487,1018.12,1023.6,107.973,155.7,380.81
196.69,32.42,250.05,44.46,138.494,221.194,640.631,641.949,126.291,68.13,393.03
167.43,21.27,267.28,164.24,114.304,476.719,679.002,687.757,134.782,95.59,431.52
102.06,5.64,85.36,43.76,147.323,47.1769,295.899,335.311,101.08,133.18,394.51
135.44,94.6,105.97,99.44,227.408,202.438,437.661,441.555,55.448,80.48,247.31
113.28,25.49,155.81,98.25,109.44,314.846,533.411,562.164,8.93131,57.37,499.97
220.56,10.64,242.58,113.3,92.6014,530.494,825.317,828.228,156.981,114.24,464.94
117.13,20.39,45.46,31.15,114.888,50.5716,242.298,298.404,34.9018,36.79,244.61
141.79,72.76,108.9,40.95,605.062,222.98,838.531,863.37,118.94,67.43,307.89
235.68,49.2,102.88,42.77,227.533,134.782,443.818,486.414,159.195,103.01,255.47
107.96,57.27,66.1,46.09,73.7335,108.739,268.64,296.198,65.433,79.35,298.34
124.68,117.28,103.7,61.64,232.762,260.778,515.67,541.348,10.2188,12.74,372.68
106.76,21.63,57.79,50.04,47.179,101.521,268.25,280.629,62.8605,48.94,308.59
118.57,30.94,135.17,54.99,169.576,291.053,590.798,595.176,27.787,6.57,248.97
365.03,95.57,170.09,119.97,362.239,314.768,764.884,816.408,217.471,138.68,952.61
160.31,15.26,72.55,69.58,154.036,199.924,399.478,471.452,131.408,70.27,324.56
131.36,61.5,185.85,122.47,279.243,425.65,761.941,761.987,80.4905,51.43,432.72
113.19,35.94,69.49,39.82,88.7535,33.4109,242.993,336.189,113.344,74.03,606.77
105.76,55.94,111.06,30.74,61.8179,130.413,329.255,339.171,47.7283,19.14,217.24
111.21,87.88,87.17,41.05,207.75,46.5008,332.996,345.671,120.203,115.93,162.64
115.04,63.58,107.24,60.82,186.901,196.934,464.871,486.431,147.126,117.29,384.96
185.35,34.8,93.84,64.31,196.348,173.124,460.976,493.268,61.3003,116.14,592.48
109.72,63.12,168.83,41.33,185.511,43.8213,355.965,432.987,93.3774,64.54,438.93
183.57,146.17,91.02,34.51,330.662,38.885,429.888,477.906,113.721,130.43,394.99
140.81,75.82,98.33,62.48,441.989,130.165,613.958,643.353,78.1666,70.01,364.3
107.89,61.41,108.49,93.79,211.032,193.06,445.18,451.548,131.609,131.1,357.95
242.73,108.91,197.97,34.65,646.329,210.488,1072.73,1178.16,271.131,148.08,626.22
106.16,82.85,95.48,71.95,331.124,163.202,496.035,505.705,38.4807,38.9,271.85
174.75,62.75,83.21,74.39,207.794,181.87,422.95,433.891,119.51,121.51,157.6
108.54,41.59,199.15,69.21,481.967,883.985,1580.54,1589.98,130.584,163.2,544.16
258.04,54.1,87.36,49.46,273.727,130.528,594.313,628.93,196.916,162.55,237.48
140.5,78.45,132.57,73.72,251.084,251.792,543.732,549.619,111.133,105.23,268.39
171.48,30.25,94.8,41.81,158.284,104.992,433.998,462.745,124.297,78.29,236.89
139.02,37.25,204.66,138.43,89.3439,334.75,462.288,527.898,182.616,131.25,420.15
142.67,27.68,304.74,137.35,142.121,462.406,625.286,714.693,58.7192,57.33,1328
125.34,107.63,112.15,93.73,273.102,350.573,629.334,629.867,68.5214,84.89,445.04
232.07,206.84,65.81,36.38,524.236,30.4331,623.44,636.46,92.5715,67.98,316.9
224.72,106.09,89.28,44.7,345.969,115.93,488.107,510.25,168.062,165.99,165.34
160.47,122.94,111.6,57.98,327.395,197.878,567.094,567.634,59.8591,59.83,169.58
124.52,54.29,88.76,65.89,107.64,148.81,348.018,368.323,62.9923,54.61,405.64
167.74,99.86,117.66,79.35,354.716,309.891,707.143,708.675,78.3661,85.44,197.01
185.43,34.2,179.46,170.84,46.4278,341.342,492.289,608.777,30.782,91.53,792
119.07,46.06,249.14,73.12,349.24,2037.84,3707.96,3711.23,224.169,240.74,886.99
110.24,85.01,166.44,108.73,263.784,243.732,531.313,544.123,116.331,109.3,514.97
124.58,32.76,124.14,60.63,206.663,165.027,412.649,443.742,185.828,174.1,230.93
188.96,82.22,77.76,32.82,257.461,51.6998,410.455,415.28,74.8199,35.74,110.58
125.82,113.06,59.7,45.01,405.767,84.5311,522.222,525.342,21.042,31.83,269.98
214.14,13.65,124.91,63.6,201.116,207.676,488.1,506.341,171.055,142.72,188.51
160.83,50.88,85.26,54.03,407.581,133.115,587.527,596.01,70.0974,45.41,207.54
109.75,29.01,65.16,57.84,161.848,236.624,479.454,489.023,84.1066,100.34,317.39
245.74,91.24,108.29,30.65,314.951,150.225,468.487,525.691,292.491,384.52,1001.12
298.86,183.33,110.62,90.01,768.423,246.358,1017.58,1025.25,128.008,142.13,659.72
119.72,58.25,153,38.96,199.416,109.582,418.79,429.055,150.007,124.1,309.8
107.3,44.86,114.15,80.55,174.132,177.057,395.956,405.675,51.9414,26.08,466.74
159.68,59.09,104.34,48.48,683.279,532.262,1240.79,1241.69,106.043,191.2,369.23
193.84,34.15,53.6,51.61,150.967,89.0029,323.663,378.448,164.94,115.77,146.05
117.1,14.5,166.51,46,59.0113,142.997,342.191,347.001,126.318,96.04,407.14
124.21,26.78,107.35,49.81,107.573,240.808,499.538,561.211,136.562,77.57,595.16
105.93,26.18,43.75,35.81,124.398,93.4844,264.57,279.564,77.6309,60.15,529.91
171.26,56.91,71.27,43.77,440.765,133.237,632.778,638.2,109.654,110.14,230.93
117.72,85.08,236.66,192.68,205.596,443.477,687.49,697.408,91.4699,47.22,461.52
131.19,21.16,74.27,49.34,90.1681,119.079,309.67,324.114,105.428,87.18,210.76
116.2,9.71,106.87,38.52,44.1495,123.823,298.641,315.109,152.913,154.87,209.94
127.86,50.95,63.14,38.72,199.198,125.602,475.839,476.183,99.0243,106.49,216.87
168.96,50.81,150.18,35.33,161.313,128.447,407.216,414.696,111.75,75.48,218.19
106.01,99.49,113.47,64,247.269,169.918,448.582,457.415,119.156,153.68,233.25
117.08,59.24,64.72,31.63,76.0511,87.6565,284.429,305.66,84.2697,79.14,256.75
159.53,99.71,86.84,84.11,349.828,207.323,613.067,618.098,55.8865,19.63,207.02
106.28,40.04,99.24,90.14,139.968,226.843,404.143,412.357,54.2009,42.18,344.31
102.86,28.57,130.25,46.87,37.0311,165.16,357.771,364.458,116.728,155,848.81
116.75,40.03,250.99,80.87,148.052,230.03,536.161,554.501,80.3899,49.89,466.58
112.39,51.27,247.48,204.63,143.718,456.422,623.256,628.22,137.335,288.34,1016.79
148.8,38.46,56.54,49.18,310.913,331.107,681.634,693.391,117.521,103.74,141.33
126.27,29.28,58.52,51.44,28.7973,166.35,335.472,353.644,120.804,155.99,256.78
139.2,34.1,69.7,46.69,158.89,112.028,320.129,337.136,95.325,79.83,302.71
155.27,30.03,43.47,42.12,149.77,89.2355,324.207,377.582,79.1153,33.55,189.07
198.31,55.19,196.8,44.71,197.924,281.771,609.284,616.387,81.9612,41.1,412.77
117.22,105.2,109.7,88.36,250.551,286.527,577.099,590.607,46.8325,75.81,412.65
101.67,42.96,58.84,47.38,218.617,194.182,440.274,452.071,84.8643,59.65,106.22
120.8,20.2,98.51,46.5,57.0391,173.105,254.221,359.394,147.461,130.46,563.89
110.95,55.91,63.88,62.42,163.468,119.159,299.611,317.486,60.7465,42.48,220.43
137.93,12.66,59.83,44.67,264.134,100.895,391.081,405.258,133.568,132.12,104.5
115.61,62.1,44.76,35.42,270.566,26.3507,738.76,739.273,75.8747,71.89,378.92
149.54,5.85,186.69,67.11,45.7333,825.013,1082.08,1084.62,202.988,254.18,502.69
