ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
240.49,153.83,96.05,57.36,94.7204,84.9912,960.932,1005.75,363.101,327.1,153.41
317.47,187.76,138.83,76.84,92.9462,75.7216,888.24,1093.39,635.917,669.77,638.47
282.93,198.86,330.32,199.23,90.287,114.95,750.828,1061.35,856.325,838.19,590.27
317.37,124.08,962.1,74.69,93.2049,700.269,978.04,1579.18,1188.27,1100.5,1340.94
237.53,36.59,406.32,98.67,91.0345,116.157,746.533,808.489,458.459,756.05,1470.1
1008.06,502.33,122.93,38.25,93.1503,111.406,1233.87,1866.43,827.579,462.27,1624.65
263.2,148.74,188.76,128.3,91.836,98.081,499.008,741.015,380.327,339.88,888.1
109,51.62,316.43,30.47,86.925,109.082,1490.08,1521.58,343.791,307.42,402.24
327.37,107.02,345.55,93.02,92.073,121.111,708.395,884.814,730.014,772.26,637.77
383.24,200.15,491.08,34.9,89.7825,104.054,1353.32,1357.35,216.128,77.52,525.98
453.06,397.33,424.14,41.59,91.8447,118.701,1855.44,1939.59,749.985,599.24,465.73
184.09,4.44,293.08,61.64,72.7612,174.02,562.203,744.488,634.004,856.42,599.5
410.34,130.4,418.64,48.28,90.0755,121.06,1042.19,1052.83,291.693,149.68,466.92
680.05,249.39,230.7,74.53,89.5141,87.1882,834.097,1254.84,1035.97,995.31,453.1
484.29,214.85,291.97,120.72,98.3756,111.602,1089.43,1314.04,784.442,702.37,885.51
331.72,177.25,365.69,127.54,91.7259,118.456,568.774,1035.83,822.573,733.98,690.59
339.64,5.08,343.91,67.69,90.1063,100.203,741.232,861.1,794.441,1079.63,1049.24
959.42,292.17,321.63,219.06,88.715,126.506,1767.79,2041.08,1152.86,1000.25,1191.16
551.09,438.52,863,597.13,69.7757,1214.16,2430.65,2517.05,1163.95,1057.05,1944
392.33,62.91,758.88,60.03,88.6831,134.401,1524.24,1588,635.295,469.55,868.58
150.97,109.37,334.11,114.18,92.1984,88.7047,1445.08,1599.24,687.259,688.12,527.18
