mu,M1,br_chi2_Zchi1,br_chi2_hchi1,br_chi3_Zchi1,br_chi3_hchi1
500.0,25.0,0.419445453,0.580554547,0.616737892,0.383262108
500.0,125.0,0.78552796,0.21447204,0.2505149,0.7494851
500.0,225.0,0.906045449,0.0939545511,0.131561099,0.868438901
500.0,325.0,0.976622522,0.0233774781,0.0650022913,0.934997709
600.0,25.0,0.417187739,0.582812261,0.600486759,0.399513241
600.0,125.0,0.271594804,0.728405196,0.747183301,0.252816699
600.0,225.0,0.861791147,0.138208853,0.159564585,0.840435415
600.0,325.0,0.939271923,0.0607280773,0.0846003474,0.915399653
600.0,425.0,0.984591254,0.0154087462,0.0428676177,0.957132382
700.0,25.0,0.416769952,0.583230048,0.589663233,0.410336767
700.0,125.0,0.289139653,0.710860347,0.718740459,0.281259541
700.0,225.0,0.825578232,0.174421768,0.185281129,0.814718871
700.0,325.0,0.90490374,0.0950962602,0.109023754,0.890976246
700.0,425.0,0.957775581,0.0422244188,0.058580311,0.941419689
700.0,525.0,0.98906773,0.0109322697,0.0302706071,0.969729393
800.0,25.0,0.417100224,0.582899776,0.581988786,0.418011214
800.0,125.0,0.303679989,0.696320011,0.696986596,0.303013404
800.0,225.0,0.207740538,0.792259462,0.795919862,0.204080138
800.0,325.0,0.874129319,0.125870681,0.132845009,0.867154991
800.0,425.0,0.931090026,0.0689099744,0.0787131319,0.921286868
800.0,525.0,0.969071815,0.0309281846,0.0428431862,0.957156814
800.0,625.0,0.991875684,0.00812431631,0.022501858,0.977498142
900.0,25.0,0.417734589,0.582265411,0.576289044,0.423710956
900.0,125.0,0.315764339,0.684235661,0.679825933,0.320174067
900.0,225.0,0.227066821,0.772933179,0.771371015,0.228628985
900.0,325.0,0.154749012,0.845250988,0.846998993,0.153001007
900.0,425.0,0.905557106,0.0944428944,0.0992649451,0.900735055
900.0,525.0,0.947969897,0.0520301028,0.0592936573,0.940706343
900.0,625.0,0.976414539,0.023585461,0.0326402315,0.967359768
900.0,725.0,0.993730045,0.00626995472,0.0173690124,0.982630988
1000.0,25.0,0.418478184,0.581521816,0.571902302,0.428097698
1000.0,125.0,0.325909271,0.674090729,0.665969453,0.334030547
1000.0,225.0,0.243687654,0.756312346,0.750835094,0.249164906
1000.0,325.0,0.174458751,0.825541249,0.823240003,0.176759997
1000.0,425.0,0.881838179,0.118161821,0.118993488,0.881006512
1000.0,525.0,0.926817132,0.0731828678,0.0767056612,0.923294339
1000.0,625.0,0.959414682,0.0405853183,0.0461783265,0.953821674
1000.0,725.0,0.98144058,0.0185594197,0.025667719,0.974332281
1000.0,825.0,0.995016993,0.00498300702,0.0138054221,0.986194578
1100.0,25.0,0.419243894,0.580756106,0.568431882,0.431568118
1100.0,125.0,0.334522446,0.665477554,0.654566115,0.345433885
1100.0,225.0,0.25804545,0.74195455,0.733472439,0.266527561
1100.0,325.0,0.192052238,0.807947762,0.802450008,0.197549992
1100.0,425.0,0.137419504,0.862580496,0.860156174,0.139843826
1100.0,525.0,0.906381542,0.0936184583,0.0939951748,0.906004825
1100.0,625.0,0.941771453,0.0582285472,0.0609172536,0.939082746
1100.0,725.0,0.967505423,0.0324945772,0.0369364936,0.963063506
1100.0,825.0,0.985028477,0.0149715227,0.0207017563,0.979298244
1100.0,925.0,0.995949021,0.00405097886,0.0112353576,0.988764642
1200.0,25.0,0.419984782,0.580015218,0.565616672,0.434383328
1200.0,125.0,0.341902634,0.658097366,0.645015398,0.354984602
1200.0,225.0,0.270515906,0.729484094,0.718627013,0.281372987
1200.0,325.0,0.207718926,0.792281074,0.784200086,0.215799914
1200.0,425.0,0.154390552,0.845609448,0.840479071,0.159520929
1200.0,525.0,0.11062792,0.88937208,0.887051501,0.112948499
1200.0,625.0,0.924188486,0.0758115139,0.0759425456,0.924057454
1200.0,725.0,0.952635953,0.047364047,0.0494754048,0.950524595
1200.0,825.0,0.973414568,0.0265854317,0.0301899321,0.969810068
1200.0,925.0,0.987668434,0.012331566,0.0170400295,0.98295997
1200.0,1025.0,0.996637788,0.00336221152,0.00931553937,0.990684461
1300.0,25.0,0.420688904,0.579311096,0.5632951,0.4367049
1300.0,125.0,0.348296252,0.651703748,0.636914704,0.363085296
1300.0,225.0,0.281426499,0.718573501,0.705821167,0.294178833
1300.0,325.0,0.221691583,0.778308417,0.76812545,0.23187455
1300.0,425.0,0.169924228,0.830075772,0.822689154,0.177310846
1300.0,525.0,0.126359124,0.873640876,0.869007289,0.130992711
1300.0,625.0,0.0907546757,0.909245324,0.907117573,0.0928824267
1300.0,725.0,0.937465552,0.0625344478,0.0625377963,0.937462204
1300.0,825.0,0.960762399,0.039237601,0.0409419988,0.959058001
1300.0,925.0,0.977861399,0.0221386009,0.0251239468,0.974876053
1300.0,1025.0,0.989671824,0.0103281759,0.0142673817,0.985732618
1300.0,1125.0,0.997166903,0.00283309713,0.0078492857,0.992150714
1400.0,25.0,0.421347566,0.578652434,0.561348475,0.438651525
1400.0,125.0,0.353881468,0.646118532,0.629957999,0.370042001
1400.0,225.0,0.291033566,0.708966434,0.694673326,0.305326674
1400.0,325.0,0.234184668,0.765815332,0.753896092,0.246103908
1400.0,425.0,0.184101636,0.815898364,0.806610081,0.193389919
1400.0,525.0,0.141089577,0.858910423,0.852280136,0.147719864
1400.0,625.0,0.105068082,0.894931918,0.890801505,0.109198495
1400.0,725.0,0.0756694245,0.924330576,0.922412991,0.0775870093
1400.0,825.0,0.947597218,0.0524027823,0.0523379736,0.947662026
1400.0,925.0,0.966986601,0.0330133988,0.0344180739,0.965581926
1400.0,1025.0,0.981286484,0.0187135161,0.021226027,0.978773973
1400.0,1125.0,0.991225637,0.00877436291,0.0121178207,0.987882179
1400.0,1225.0,0.997580464,0.00241953571,0.00670308896,0.993296911
1500.0,25.0,0.421959653,0.578040347,0.559694201,0.440305799
1500.0,125.0,0.358735899,0.641264101,0.623858607,0.376141393
1500.0,225.0,0.299489283,0.700510717,0.684829833,0.315170167
1500.0,325.0,0.245342544,0.754657456,0.741179924,0.258820076
1500.0,425.0,0.196990707,0.803009293,0.792008197,0.207991803
1500.0,525.0,0.154768883,0.845231117,0.836783497,0.163216503
1500.0,625.0,0.118700194,0.881299806,0.875316962,0.124683038
1500.0,725.0,0.0885627139,0.911437286,0.907706105,0.0922938955
1500.0,825.0,0.0639613413,0.936038659,0.934265452,0.0657345479
1500.0,925.0,0.955456272,0.044543728,0.0443944579,0.955605542
1500.0,1025.0,0.971824593,0.0281754072,0.0293102574,0.970689743
1500.0,1125.0,0.983952716,0.0160472835,0.018152405,0.981847595
1500.0,1225.0,0.992430555,0.00756944459,0.0104060083,0.989593992
1500.0,1325.0,0.9978865,0.00211350018,0.00577004491,0.994229955
1600.0,25.0,0.422544124,0.577455876,0.558289863,0.441710137
1600.0,125.0,0.363099305,0.636900695,0.618575169,0.381424831
1600.0,225.0,0.307079333,0.692920667,0.676184679,0.323815321
1600.0,325.0,0.255436977,0.744563023,0.729864971,0.270135029
1600.0,425.0,0.208797576,0.791202424,0.778820578,0.221179422
1600.0,525.0,0.167502936,0.832497064,0.822542995,0.177457005
1600.0,625.0,0.131641649,0.868358351,0.860797205,0.139202795
1600.0,725.0,0.101094967,0.898905033,0.893585843,0.106414157
1600.0,825.0,0.0755887901,0.92441121,0.921100859,0.0788991415
1600.0,925.0,0.0547443504,0.94525565,0.943671682,0.0563283181
1600.0,1025.0,0.961716594,0.0382834065,0.0381228644,0.961877136
1600.0,1125.0,0.975701502,0.0242984978,0.0252622139,0.974737786
